タイプ,回数/項目,内容
評価基準,講義（各個人による課題の提出：10 回）,50%
評価基準,グループワーク（各グループのプレゼン内容＋各個人による課題の提出：5 回）,50%
評価基準,講義およびグループワークの各回に出席し、かつそこで出された課題を提出した場合のみ、各回の成績評価の対象とする。,
授業計画,第1回,【科学と人間を深める➀】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第2回,【科学と人間を深める②】　ディスカッション・グループワーク　◆テーマ：マイノリティとともに生きる
授業計画,第3回,【社会に生きる➀】　科目群の学習内容紹介
授業計画,第4回,【世界を理解する①】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第5回,【世界を理解する②】　ディスカッション・グループワーク　◆テーマ：異文化とともに生きる
授業計画,第6回,【地域を掘り下げ➀】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第7回,【社会に生きる②】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第8回,【社会に生きる③】　ディスカッション・グループワーク　◆テーマ：ロボット・AIとともに生きる
授業計画,第9回,【科学と人間を深める③】　科目群の学習内容紹介
授業計画,第10回,【地域を掘り下げる②】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第11回,【地域を掘り下げる③】　ディスカッション・グループワーク　◆テーマ：過去・未来とともに生きる
授業計画,第12回,【社会に生きる④】　科目群の学習内容紹介
授業計画,第13回,【科学と人間を深める④】　学部・学科の紹介＋科目群の学習内容紹介
授業計画,第14回,【科学と人間を深める⑤】　ディスカッション・グループワーク　◆テーマ：病（やまい）とともに生きる
授業計画,第15回,【科学と人間を深める⑥】　科目群の学習内容紹介、および、全体の振り返り
